,precision,recall,f1-score,support,category,accuracy,Model
0,0.2990575563783238,0.08331379811524216,0.13032158703384547,21329.0,Shopping,0.3798829669460699,PGC-NN
1,0.2668279493382667,0.17438616071428573,0.21092299904381573,21504.0,Shopping,0.347777953503084,PGC-NN
2,0.32223279416428796,0.09480264999533451,0.14650324441240087,21434.0,Shopping,0.3811903632242079,PGC-NN
3,0.3162828612186672,0.14485043632460684,0.19870050891399674,21429.0,Shopping,0.3804734039749064,PGC-NN
4,0.30570208490329065,0.17017012351433233,0.21863584645787174,21455.0,Shopping,0.3813500347947112,PGC-NN
5,0.37404580152671757,0.03873517786561265,0.07020057306590258,6325.0,Community,0.3798829669460699,PGC-NN
6,0.0,0.0,0.0,6225.0,Community,0.347777953503084,PGC-NN
7,0.37464788732394366,0.021493212669683258,0.040654134189209844,6188.0,Community,0.3811903632242079,PGC-NN
8,0.5,0.00015467904098994585,0.0003092624091541673,6465.0,Community,0.3804734039749064,PGC-NN
9,0.3,0.00047664442326024784,0.0009517766497461929,6294.0,Community,0.3813500347947112,PGC-NN
10,0.3616226884734811,0.9203647416413374,0.5192325048284328,31255.0,Food,0.3798829669460699,PGC-NN
11,0.3522557936385592,0.882356726839785,0.5035025385371049,31077.0,Food,0.347777953503084,PGC-NN
12,0.35942096489507747,0.9315098954858795,0.5187019626226086,31479.0,Food,0.3811903632242079,PGC-NN
13,0.364724844577481,0.9115089514066497,0.5209859849799916,31280.0,Food,0.3804734039749064,PGC-NN
14,0.3706542383383397,0.8861872403465266,0.5226897141228987,31051.0,Food,0.3813500347947112,PGC-NN
15,0.4993215739484396,0.030986864264061973,0.05835249345912947,11876.0,Entertainment,0.3798829669460699,PGC-NN
16,0.375,0.007214015802129852,0.014155712841253791,11644.0,Entertainment,0.347777953503084,PGC-NN
17,0.6652298850574713,0.03947144075021313,0.07452116529856752,11730.0,Entertainment,0.3811903632242079,PGC-NN
18,0.0,0.0,0.0,11605.0,Entertainment,0.3804734039749064,PGC-NN
19,0.5461293743372216,0.04442335892348831,0.08216336949585194,11593.0,Entertainment,0.3813500347947112,PGC-NN
20,0.6118090452261307,0.42069799585349,0.49856674856674854,11576.0,Travel,0.3798829669460699,PGC-NN
21,0.661150512214342,0.14415807560137456,0.23670475384398362,11640.0,Travel,0.347777953503084,PGC-NN
22,0.7125890736342043,0.3606078818579892,0.4788780571233111,11647.0,Travel,0.3811903632242079,PGC-NN
23,0.6525992990654206,0.38373690537523614,0.4832918784470639,11646.0,Travel,0.3804734039749064,PGC-NN
24,0.5817426308271653,0.3723713739506275,0.4540847354550983,12031.0,Travel,0.3813500347947112,PGC-NN
25,1.0,0.00031501023783272954,0.000629822075263738,6349.0,Outdoors,0.3798829669460699,PGC-NN
26,0.0,0.0,0.0,6467.0,Outdoors,0.347777953503084,PGC-NN
27,0.0,0.0,0.0,6209.0,Outdoors,0.3811903632242079,PGC-NN
28,0.0,0.0,0.0,6270.0,Outdoors,0.3804734039749064,PGC-NN
29,0.0,0.0,0.0,6381.0,Outdoors,0.3813500347947112,PGC-NN
30,1.0,0.00032599837000814997,0.0006517842594101353,6135.0,Nightlife,0.3798829669460699,PGC-NN
31,0.2810810810810811,0.00826972010178117,0.01606673876100726,6288.0,Nightlife,0.347777953503084,PGC-NN
32,0.3,0.0004871711594673595,0.0009727626459143969,6158.0,Nightlife,0.3811903632242079,PGC-NN
33,0.0,0.0,0.0,6150.0,Nightlife,0.3804734039749064,PGC-NN
34,0.3333333333333333,0.00033129037601457677,0.0006619228859837829,6037.0,Nightlife,0.3813500347947112,PGC-NN
